koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,koi_disposition
0.819,0,0,0,0,4.57797412,4.26e-05,-4.26e-05,135.63058,0.00788,-0.00788,0.343,0.108,-0.343,2.862,0.216,-0.216,125.0,14.8,-14.8,0.96,0.28,-0.09,1024.0,259.36,225.65,-70.29,9.6,2.0,5795.0,155.0,-172.0,4.554,0.036,-0.192,0.848,0.252,-0.079,297.39319,47.164631,15.302,2
0.991,0,0,0,0,34.7630543,0.000213,-0.000213,161.74217,0.00531,-0.00531,0.731,0.204,-0.511,4.309,0.134,-0.134,294.0,13.2,-13.2,1.75,0.23,-0.22,554.0,22.23,8.51,-6.6,24.0,1.0,5670.0,113.0,-102.0,4.387,0.138,-0.092,0.95,0.124,-0.124,292.32645,38.657581,13.865,1
1.0,0,0,0,0,16.56806842,5.23e-05,-5.23e-05,146.15285,0.00231,-0.00231,0.164,0.279,-0.164,4.2647,0.0826,-0.0826,1330.0,35.3,-35.3,2.54,0.15,-0.11,548.0,21.27,4.0,-3.07,41.9,1.0,4987.0,80.0,-80.0,4.602,0.024,-0.038,0.716,0.04,-0.032,292.46976,37.567791,15.391,1
1.0,0,0,0,0,32.3122867,0.000174,-0.000174,133.867,0.0047,-0.0047,0.934,0.005,-0.646,6.569,0.208,-0.208,678.0,22.6,-22.6,4.84,0.79,-1.06,699.0,56.49,24.19,-23.8,33.6,1.0,5821.0,79.0,-79.0,4.108,0.182,-0.098,1.494,0.244,-0.326,292.29099,37.580799,14.757,2
0.996,0,0,0,0,5.94228603,7.91e-05,-7.91e-05,133.804,0.0105,-0.0105,0.097,0.367,-0.097,2.169,0.34,-0.34,250.0,40.6,-40.6,1.23,0.04,-0.08,797.0,95.34,13.42,-17.94,7.5,1.0,4891.0,78.0,-78.0,4.516,0.068,-0.02,0.805,0.028,-0.056,289.43896,49.73122,14.779,1
0.0,0,0,1,0,1.791406261,2.71e-06,-2.71e-06,132.99503,0.00125,-0.00125,1.008,0.682,-0.032,2.8159,0.0665,-0.0665,346.0,7.2,-7.2,4.51,1.5,-0.5,1579.0,1466.9,1428.09,-453.62,60.7,1.0,6092.0,165.0,-202.0,4.453,0.056,-0.224,1.028,0.341,-0.114,288.51645,41.381962,14.574,0
0.23,0,0,0,0,502.25648,0.042,-0.042,162.5842,0.076,-0.076,0.05,0.403,-0.05,14.84,1.7,-1.7,153.0,24.3,-24.3,1.03,0.22,-0.15,215.0,0.51,0.33,-0.18,8.1,1.0,5637.0,169.0,-152.0,4.46,0.135,-0.165,0.833,0.18,-0.12,290.89395,45.71664,13.339,2
1.0,0,0,0,0,16.0573291,0.000107,-0.000107,132.39054,0.00592,-0.00592,0.883,0.084,-0.667,3.546,0.155,-0.155,575.0,37.8,-37.8,2.27,0.51,-0.17,645.0,41.04,27.54,-9.61,17.5,1.0,5644.0,152.0,-152.0,4.575,0.036,-0.144,0.806,0.182,-0.061,296.75339,49.378109,15.869,2
0.0,0,0,1,0,2.15681538,1.72e-05,-1.72e-05,133.27151,0.00712,-0.00712,0.615,0.331,-0.385,5.115,0.251,-0.251,107.0,5.7,-5.7,1.06,0.32,-0.14,1473.0,1114.9,991.14,-381.29,22.6,1.0,6084.0,169.0,-212.0,4.45,0.07,-0.21,0.983,0.296,-0.127,297.81674,43.440411,14.758,0
0.0,0,1,0,0,1.592634161,7.01e-07,-7.01e-07,132.328769,0.0005,-0.0005,0.877,0.012,-0.011,8.9488,0.0126,-0.0126,155000.0,158.0,-158.0,100.2,27.0,-33.0,2255.0,6128.09,4886.7,-3736.14,1207.6,1.0,6574.0,181.0,-227.0,4.061,0.264,-0.176,1.768,0.477,-0.583,291.76633,37.097191,14.915,0
1.0,0,0,0,0,31.3351094,0.000318,-0.000318,136.97538,0.00808,-0.00808,0.706,0.002,-0.525,6.071,0.254,-0.254,265.0,18.3,-18.3,1.99,0.57,-0.25,666.0,46.53,39.13,-14.81,16.7,1.0,6404.0,173.0,-192.0,4.393,0.06,-0.18,1.142,0.327,-0.14,296.62704,49.353901,14.681,2
0.0,0,0,1,0,1.405887031,5.71e-06,-5.71e-06,132.01147,0.00347,-0.00347,0.364,0.087,-0.364,1.184,0.135,-0.135,216.0,19.7,-19.7,0.95,0.07,-0.08,1086.0,329.99,95.51,-85.77,13.8,1.0,4440.0,133.0,-133.0,4.618,0.049,-0.025,0.653,0.046,-0.056,286.7695,45.234131,15.643,0
0.994,0,0,0,0,6.10027621,1.62e-05,-1.62e-05,135.58656,0.00233,-0.00233,0.015,0.36,-0.015,4.7476,0.0647,-0.0647,767.0,19.6,-19.6,2.59,0.82,-0.28,990.0,227.15,222.45,-68.49,43.2,1.0,5957.0,195.0,-195.0,4.506,0.039,-0.208,0.937,0.299,-0.1,293.18454,37.969841,15.678,1
